roomid,placeid
Kalbadevi,ChIJG7sKKCLO5zsR_H6x-j9HG_k
Dindoshi,ChIJaSgK3we35zsRlz6d-6a9FHY
Raja Rajeshwari Nagar,ChIJz5ILsP8-rjsR5pwHymp-1i0
Maruthi Nagar,ChIJoe8PX589rjsRTcUC4t5zTdI
Magadi Road,ChIJA6st58M9rjsRpgmXHjEXBgk
Dharavi,ChIJNS2_KtfI5zsRLqgq32KxoFs
Deonar,ChIJA-bLbAzG5zsRypVBMo5YZN0
Breach Candy,ChIJLQBHqdjN5zsRon7MDtgXcRc
Nahur,ChIJgZIX-Im45zsRyUkd0zFAbMY
Majestic,ChIJi-t8KwUWrjsRlp-L9ykb2_k
Kodigehalli,ChIJSYBXPB4YrjsRXG35PwkicR8
Kashimira,ChIJk0ikcGSw5zsR4INsaN6qiPI
Murbad,ChIJQY5Ae-yL5zsRRhyfEABbgBg
Gokuldham,ChIJnQ6ESqG35zsRDWnQa32UJ0M
Khadakpada,ChIJm0hFuIeW5zsRpVunRqkFTVI
Peddar Road,ChIJzzzTlHbO5zsR4N-KdDKMTiQ
Peddar Road,ChIJxyrpNnTO5zsRZyMHK4mJ3HU
Thanisandra,ChIJtZSxeeEZrjsRHJp4-2SstWs
Kodipur,ChIJVQneSLc_rjsRQUhMnUow-G4
Walkeshwar,ChIJqViHNf3N5zsR5m3guO29wEQ
Girgaon,ChIJvVg5PBDO5zsRovVU-jWOYgk
Kalyan-Shil Road,ChIJQaPc3L2V5zsR2XAuun1tiU0
Yari Road,ChIJWRNIOwm25zsRLUViSXNRFwg
Kasavanahalli,ChIJwXS70WoTrjsRCtm_QknbhTA
Jeevanbheema Nagar,ChIJS746mP4TrjsR7JZcPztktRA
ITPL,ChIJsfXBxuIRrjsRNP6p8cA0gAk
Jalahalli West,ChIJ2QlXyjM9rjsR0Q08_aU_SwQ
Jalahalli Cross,ChIJlY1FFyc9rjsR7EYyqPyyYlU
Jakkur,ChIJV1_PmNAZrjsRT7Fcs9RvnLA
ISRO Layout,ChIJZa4RO94_rjsRbMsauCo4468
Jayamahal,ChIJuSFvvlAWrjsRbkPtTgU9kB8
HRBR Layout,ChIJIeeB6isXrjsRmg3CP1jNkX4
Ashok Nagar,ChIJkTGsYIAWrjsRXONhIHn9BD4
Anjanapura,ChIJZcG6lqNqrjsRj57kC9KFAsQ
Harlur,ChIJvSKk8l0TrjsR-HIecV2eyDI
Hoodi,ChIJD1FpvJMRrjsRSPg6XJzpz5I
Malad East,ChIJ29eTK8615zsRqLeb_lxemoc
M.S. Ramaiah,ChIJV6PGgt4XrjsR6sY3qawCzdQ
S R Layout,ChIJ5fbyEwkUrjsRGwJd4EV6UmY
Ejipura,ChIJS0y-ikIUrjsRFN3g6O5_Jgw
Chintamani,ChIJ4c4rbVYEsjsRko68C_jpasE
Dommasandra,ChIJsQzJn61yrjsRaEV85C15AQw
Chikkabidarakallu,ChIJ3z1mibM8rjsR2Ig_uvultOA
Chikkaballapur,ChIJQW-c82DlsTsRKsrp6tUI33E
Chikbanavara,ChIJa20mhRcjrjsRU73vbYXOuFQ
Adugodi,ChIJRTHEy0sUrjsRV_BYNOUtpu4
Devarachikkana Halli,ChIJk5DZ9ckUrjsRLqrruBrEf_M
Devanahalli,ChIJG5NCqX0drjsRwMNCtQZ6U7k
Chikkanahalli,ChIJc6Hd7PT8sTsR1ABA-UP1TuM
Dasarahalli,ChIJU8xDTd8FrjsRggcWSAZi-Tw
Chickpet,ChIJ54y19ggWrjsRPKWxs8ydVc0
Doddenakundi,ChIJ6YCFXX4RrjsRNSycZt5Eeh0
Cessna Business Park,ChIJ5VaF8K0TrjsR9bX-Q6RJqcc
Budigere,ChIJrbWTGbUErjsRyrXbxSeHOOs
